nome,nivel,remoto,salario,salario_maximo,Tecnologia 1,Tecnologia 2,Tecnologia 3,Tecnologia 4,Tecnologia 5,Tecnologia 6,Tecnologia 7,Tecnologia 8,Tecnologia 9,Tecnologia 10,Tecnologia 11,Tecnologia 12
Desenvolvedor(a) Wordpress Sênior ,Sênior,Remoto,PJ,,WordPress,PHP,API,Bootstrap,Git,Testes unitários,,,,,,
"DEV Unity e Unreal (para VR, AR e Games )",Não especificado,Remoto,PJ,18.000,Blade,C#,C++,Unity,Unity3D Asset,UnrealScript,,,,,,
Analista Desenvolvedor(a) Java,Não especificado,Não Remoto,CLT,12.000,Angular,Flutter,PLSQL,SCRUM,Java,,,,,,,
Desenvolvedor(a) PHP Sênior,Sênior,Remoto,CLT,8.000,Node.js,PHP,SQL,VBA,,,,,,,,
[Híbrido] - Desenvolvedor(a) Front-End ReactJS - Pleno,Pleno,Não Remoto,PJ,10.000,Git,ReactJS,TypeScript,Figma,RESTful,,,,,,,
Desenvolvedor(a) Front End Sênior,Sênior,Remoto,PJ,,Bootstrap,SCSS,TypeScript,Angular,,,,,,,,
Desenvolvedor(a) Java Pleno,Pleno,Remoto,PJ,8.000,Hibernate,Java,JavaScript,MVC,ORACLE,Spring Boot,,,,,,
 Desenvolvedor(a) GCP Sênior,Sênior,Remoto,CLT,,Google Cloud,Cloud,Node.js,,,,,,,,,
Desenvolvedor(a) Java Sênior,Sênior,Remoto,PJ,12.000,Docker,Hibernate,Java,JavaScript,ORACLE,Spring Boot,,,,,,
Desenvolvedor(a) PHP Júnior,Júnior,Não Remoto,CLT,3.500,HTML,JavaScript,JSON,MySQL,PHP,API,,,,,,
Techlead Pleno - Django e Vue ,Pleno,Remoto,PJ,7.000,Django,PostgreSQL,SQL,Vue.js,,,,,,,,
Desenvolvedor(a) Fullstack Ruby on Rails/ Angular Sênior,Sênior,Remoto,PJ,,Angular,Firebird,Git,PostgreSQL,Ruby on Rails,,,,,,,
Desenvolvedor(a) Full Stack - PHP/Laravel/Maria DB - Pleno,Pleno,Não Remoto,PJ,7.000,jQuery,Laravel,PHP,MariaDB,JavaScript,Bootstrap,,,,,,
Dev C# ASP .NET Core,Não especificado,Não Remoto,CLT,4.000,ASP.NET Core,.NET Core,SQL,C#,,,,,,,,
Desenvolvedor(a) Full Stack (React & JAVA) com 5+ Anos de Experiência no Mercado,Não especificado,Remoto,PJ,12.000,Java,MySQL,ReactJS,,,,,,,,,
DESENVOLVEDOR(A) SR,Não especificado,Remoto,CLT / PJ,15.000,C#,Clean Code,Design Pattern,MariaDB,SQL,ASP.NET MVC,,,,,,
Desenvolvedor(a) Sênior Java Full Stack,Sênior,Remoto,PJ,10.000,Testes automatizados,Angular,Design Pattern,Java,PostgreSQL,Spring Boot,,,,,,
Desenvolvedor(a) Python/Ruby Júnior (Operações de Dados e Backend) [100% remoto],Júnior,Remoto,PJ,4.000,Python,MongoDB,Ruby,,,,,,,,,
Dev VueJS - Júnior ,Júnior,Remoto,PJ,5.000,TypeScript,Vue.js,JavaScript,,,,,,,,,
Dev C# ASP .NET Core Pleno,Pleno,Remoto,PJ,8.000,ASP.NET Core,C#,.NET Core,,,,,,,,,
Desenvolvedor(a) Front-End ReactJS - Sênior ,Sênior,Remoto,PJ,8.000,CSS,ReactJS,JavaScript,TypeScript,NextJS,,,,,,,
JavaScript Full-Stack Developer ,Não especificado,Remoto,PJ,,Angular,JavaScript,MongoDB,Node.js,TypeScript,,,,,,,
Analista de TI - Back-end Júnior,Júnior,Não Remoto,CLT / PJ,,Git,MongoDB,MySQL,Node.js,Phalcon,PHP,,,,,,
Desenvolvedor(a) Flutter Pleno,Pleno,Remoto,PJ,18.000,Dart,Flutter,RESTful,SQL,,,,,,,,
Desenvolvedor(a) Java Pleno,Pleno,Remoto,PJ,15.000,Java,PostgreSQL,Python,SQL,,,,,,,,
Desenvolvedor(a) Laravel Pleno - 100% presencial,Pleno,Não Remoto,CLT,8.000,Laravel,PHP,PostgreSQL,RESTful,,,,,,,,
Desenvolvedor(a) Backend Sênior,Sênior,Remoto,PJ,10.000,API,AWS EC2 (Elastic Compute Cloud),Docker,Laravel,MySQL,PHP,,,,,,
Gameplay Developer Mid,Não especificado,Não Remoto,PJ,,C++,Clean Code,UnrealScript,,,,,,,,,
Desenvolvedor(a) Unreal Engine (NPC/AI) Mid,Não especificado,Remoto,PJ,,C++,TDD,UnrealScript,,,,,,,,,
Desenvolvedor(a) Full Stack Pleno,Pleno,Não Remoto,PJ,12.000,Google Cloud,Node.js,Git,ReactJS,SQL Server,Testes automatizados,,,,,,
"Vencida, Desenvolvedor React Native Senior",Não especificado,Remoto,PJ,,API,Node.js,React Native,,,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Drupal",Não especificado,Não Remoto,CLT / PJ,8.000,API,CSS,Docker,Drupal,HTML,PHP,,,,,,
